Biračko mjesto:,municipality_ID,party,values
001A008B,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,2
001A008B,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A008B,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,8
001A008B,001,PARTIJA PRAVOG PUTA,0
001A008B,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,2
001A008B,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A008B,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A009A,001,BPS - SEFER HALILOVIĆ,1
001A009A,001,STRANKA ZA BOSNU I HERCEGOVINU,0
001A009A,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,14
001A009A,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A009A,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,182
001A009A,001,DEMOKRATSKA STRANKA INVALIDA BIH,1
001A009A,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A009A,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A009A,001,SDA - STRANKA DEMOKRATSKE AKCIJE,12
001A009A,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A009A,001,NARODNA STRANKA RADOM ZA BOLJITAK,52
001A009A,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A009A,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A009A,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A009A,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A009A,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,2
001A009A,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A009A,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,7
001A009A,001,PARTIJA PRAVOG PUTA,0
001A009A,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,1
001A009A,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A009A,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A009B,001,BPS - SEFER HALILOVIĆ,1
001A009B,001,STRANKA ZA BOSNU I HERCEGOVINU,1
001A009B,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,6
001A009B,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A009B,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,112
001A009B,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A009B,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A009B,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A009B,001,SDA - STRANKA DEMOKRATSKE AKCIJE,35
001A009B,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,2
001A009B,001,NARODNA STRANKA RADOM ZA BOLJITAK,38
001A009B,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A009B,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A009B,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A009B,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A009B,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,1
001A009B,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A009B,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,5
001A009B,001,PARTIJA PRAVOG PUTA,0
001A009B,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,6
001A009B,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A009B,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,7
001A010,001,BPS - SEFER HALILOVIĆ,0
001A010,001,STRANKA ZA BOSNU I HERCEGOVINU,3
001A010,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,11
001A010,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A010,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,139
001A010,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A010,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A010,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A010,001,SDA - STRANKA DEMOKRATSKE AKCIJE,93
