Biračko mjesto:,municipality_ID,party,votes
007B007,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,3.0
007B007,007,SDA - STRANKA DEMOKRATSKE AKCIJE,1.0
007B007,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,60.0
007B007,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,61.0
007B007,007,NARODNA STRANKA RADOM ZA BOLJITAK,2.0
007B007,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,287.0
007B007,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,4.0
007B007,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,1.0
007B007,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,1.0
007B007,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,1.0
007B007,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,1.0
007B007,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
